time,iv_30
2020-11-27,0.0000
2020-06-03,24.7715
2020-06-17,31.6909
2020-08-12,34.4927
2020-01-22,28.5550
2020-08-06,35.4835
2020-04-06,46.8160
2020-03-27,63.7609
2020-03-26,60.1578
2020-04-13,42.8250
2020-04-07,49.5251
2020-01-23,29.0335
2020-08-07,36.6032
2020-08-13,35.2165
2020-06-16,32.1686
2020-06-02,25.1530
2020-11-18,29.9376
2020-11-30,33.3521
2020-11-24,29.2656
2020-01-09,31.1808
2020-08-05,33.3403
2020-01-21,29.1403
2020-08-11,38.3261
2020-03-18,82.1753
2020-03-24,59.2802
2020-03-30,59.8869
2020-03-31,55.7925
2020-03-25,65.8810
2020-03-19,75.3009
2020-08-10,37.9942
2020-06-29,35.9504
2020-08-04,36.5531
2020-01-08,29.5360
2020-06-01,27.0079
2020-06-15,32.9595
2020-11-25,29.4633
2020-11-19,29.5970
2020-11-09,37.5754
2020-01-24,31.6564
2020-08-14,35.4888
2020-01-30,23.9063
2020-06-11,34.6618
2020-08-28,49.2440
2020-06-05,24.4342
2020-04-28,37.8200
2020-04-14,40.4940
2020-03-09,62.3633
2020-04-01,65.6208
2020-04-15,43.2035
2020-04-29,33.5050
2020-03-20,77.1496
2020-06-04,24.9976
2020-06-10,28.2796
2020-01-31,31.4611
2020-11-20,29.5810
2020-08-17,35.3684
2020-08-03,38.0728
2020-01-27,34.6452
2020-06-12,33.9387
2020-04-03,56.3781
2020-04-17,41.7799
2020-04-16,42.7218
2020-04-02,58.5339
2020-03-23,68.9863
2020-11-23,30.9586
2020-02-04,24.8704
2020-05-19,29.2231
2020-02-10,25.2033
2020-12-15,34.4659
2020-12-01,31.7666
2020-12-29,38.3831
2020-07-08,35.5171
2020-09-25,45.7544
2020-07-20,35.8664
2020-07-21,36.7573
2020-09-18,48.4104
2020-09-30,44.4077
2020-09-24,48.7587
2020-07-09,37.6101
2020-10-05,46.0613
2020-12-28,38.8293
2020-12-14,33.3013
2020-05-18,27.3741
2020-02-11,25.4155
2020-02-05,24.6706
2020-02-13,23.5302
2020-02-07,25.2111
2020-05-26,27.5949
2020-12-02,32.2872
2020-12-16,33.1180
2020-10-07,49.6932
2020-10-13,47.2528
2020-07-23,36.8229
2020-07-22,34.6522
2020-10-12,47.2283
2020-10-06,52.4335
2020-12-17,32.8144
2020-12-03,30.6488
2020-05-27,26.8805
2020-02-06,23.1941
2020-02-12,23.9751
2020-12-07,31.6470
2020-10-02,48.9730
2020-10-16,44.8936
2020-09-23,49.7902
2020-09-22,47.8284
2020-07-27,33.4081
2020-02-03,27.5709
2020-05-22,26.9477
2020-05-20,27.7177
2020-05-08,26.7105
2020-12-10,32.8346
2020-12-04,30.1805
2020-10-29,43.2740
2020-10-15,45.8542
2020-10-01,48.7172
2020-07-31,33.5617
2020-09-08,61.1519
2020-09-21,50.5659
2020-09-09,51.4132
2020-07-24,35.0882
2020-07-30,32.4510
2020-10-14,45.5455
2020-10-28,49.5858
2020-12-11,33.5674
2020-02-14,22.2274
2020-02-28,50.1440
2020-05-21,29.3343
2020-02-25,37.9686
2020-02-19,22.4586
2020-05-04,33.3555
2020-12-08,31.6228
2020-10-19,46.8296
2020-07-29,32.4284
2020-09-04,59.5426
2020-09-10,53.6593
2020-07-15,41.7582
2020-07-01,34.4040
2020-07-14,41.4914
2020-09-11,47.9674
2020-07-28,33.6290
2020-10-30,42.5147
2020-12-09,33.3351
2020-12-21,35.3178
2020-05-05,30.2085
2020-02-18,23.8832
2020-05-11,28.1709
2020-02-24,34.6761
2020-02-26,35.3138
2020-05-07,28.4822
2020-05-13,33.1786
2020-12-23,34.1064
2020-10-26,46.3574
2020-07-02,31.1835
2020-07-16,42.2897
2020-07-17,38.4992
2020-10-27,44.2725
2020-12-22,35.4705
2020-05-12,29.3240
2020-05-06,30.0984
2020-02-27,45.9774
2020-10-23,43.9485
2020-07-07,34.9377
2020-07-13,41.2140
2020-09-16,47.7785
2020-09-02,54.8922
2020-09-03,61.3983
2021-01-04,41.3316
2020-09-17,48.2877
2020-07-06,32.2410
2020-10-22,45.0592
2020-05-15,31.2624
2020-05-01,32.8974
2020-05-29,26.6844
2020-02-20,23.9980
2020-12-31,39.7455
2020-10-08,48.6095
2020-10-20,45.4976
2020-07-10,37.1847
2020-09-29,46.0896
2020-09-01,51.0091
2020-09-15,45.5210
2020-09-14,46.2881
2020-09-28,45.9984
2020-10-21,45.5165
2020-10-09,47.3066
2020-12-24,0.0000
2020-12-30,39.6245
2020-12-18,34.2980
2020-05-28,26.9245
2020-02-21,27.1928
2020-05-14,32.5587
2020-11-06,32.5354
2020-11-12,32.8254
2020-06-22,30.7517
2020-01-17,28.9161
2020-01-03,31.3366
2020-08-27,53.2963
2020-04-27,36.4717
2020-03-12,77.4437
2020-03-06,48.5841
2020-03-13,57.8874
2020-01-02,31.4120
2020-08-26,53.6107
2020-01-16,0.0000
2020-06-23,30.6245
2020-11-13,30.3680
2020-11-11,31.6596
2020-11-05,35.0587
2020-08-18,33.5931
2020-01-28,32.0779
2020-08-24,48.5533
2020-06-09,27.0833
2020-01-14,33.6318
2020-04-30,39.4069
2020-04-24,38.5285
2020-03-05,45.8144
2020-03-11,59.7937
2020-03-10,53.9087
2020-03-04,36.2289
2020-01-15,33.0448
2020-08-31,51.1376
2020-06-08,24.7749
2020-08-25,45.2621
2020-01-29,24.5396
2020-08-19,33.7095
2020-11-04,36.3790
2020-11-10,34.9711
2020-08-21,42.8499
2020-06-18,31.1537
2020-06-30,34.2174
2020-06-24,34.3087
2020-04-09,41.8006
2020-04-21,48.3590
2020-04-20,45.6130
2020-04-08,42.0263
2019-12-31,28.5988
2020-06-25,34.0052
2020-06-19,30.8972
2020-01-10,32.0887
2020-08-20,34.7102
2020-11-03,39.6186
2020-11-17,29.9672
2020-01-06,30.8513
2020-03-17,79.2073
2020-03-03,44.0139
2020-04-22,45.0496
2020-04-23,44.2088
2020-03-02,37.5978
2020-03-16,89.2794
2020-06-26,35.7561
2020-01-07,30.6344
2020-01-13,31.8712
2020-11-16,29.3137
2020-11-02,42.3909
