id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1211798922466865153,1211798922466865153,2019-12-30 23:59:11 UTC,2019-12-30,23:59:11,+0000,364589590,exactoptionpick,Exact Option Picks,,See how many winning picks you get in 7 days (Free) -  https://t.co/7Zs4lSFhXR  $BTC $MSFT $FB $NVDA $BYND $TWLO $BKNG $AMZN $GOOGL $BIDU $BABA $DIS $AAPL $GS $TSLA $NFLX $AMD $BA $CRM $LULU $ROKU,en,[],['https://mailchi.mp/exactoptionpicks/the-option-triggers-with-1309381'],[],0,0,2,[],"['btc', 'msft', 'fb', 'nvda', 'bynd', 'twlo', 'bkng', 'amzn', 'googl', 'bidu', 'baba', 'dis', 'aapl', 'gs', 'tsla', 'nflx', 'amd', 'ba', 'crm', 'lulu', 'roku']",https://twitter.com/ExactOptionPick/status/1211798922466865153,False,,0,,,,,,,,[],,,,
1211798397071581185,1211798397071581185,2019-12-30 23:57:06 UTC,2019-12-30,23:57:06,+0000,963495628545327104,stckpro,STCK.PRO,,$AAPL $AMZN $FB NEW ARTICLE : Apple &amp; Facebook Had Best Year Out of All FAANG Stocks  https://t.co/o17TJFj7EC Get all the latest $AAPL related news here :  https://t.co/M0ULwv2ckS  https://t.co/rZXKoXZkVb,en,[],"['https://dashboard.stck.pro/news.php?ticker=AAPL&rowid=3116973', 'https://dashboard.stck.pro/news.php?ticker=AAPL']",['https://pbs.twimg.com/media/ENEsOFnWkAAo8_6.jpg'],0,0,0,[],"['aapl', 'amzn', 'fb', 'aapl']",https://twitter.com/StckPro/status/1211798397071581185,False,,1,https://pbs.twimg.com/media/ENEsOFnWkAAo8_6.jpg,,,,,,,[],,,,
1211798021387825152,1211798021387825152,2019-12-30 23:55:37 UTC,2019-12-30,23:55:37,+0000,1109441086097899520,qcontrarian,QuantContrarian🏚,,Discussion of $AAPL and $FB both of which have outperformed their FAANG peers. 📌remember #apple had a major debt offering in 2019 and is developing #Satellite tech to circumvent traditional #telecom carriers 📌FB outperforms even w/ gov scrutiny #investing #stocks #bonds #invest,en,[],[],[],0,0,0,"['apple', 'satellite', 'telecom', 'investing', 'stocks', 'bonds', 'invest']","['aapl', 'fb']",https://twitter.com/QContrarian/status/1211798021387825152,False,https://twitter.com/BloombergTV/status/1211793065129762816,0,,,,,,,,[],,,,
1211797888650625026,1211797888650625026,2019-12-30 23:55:05 UTC,2019-12-30,23:55:05,+0000,33286321,optionalarm,OptionAlarm,,Try our swing trading service built for individuals who want to trade longer-term timeframes around their full-time careers. Find out more here:  https://t.co/TYWXnWzzHm $BOX $DROP $SNAP $FB,en,[],['http://ow.ly/3JAK30q4T9y'],[],0,0,0,[],"['box', 'drop', 'snap', 'fb']",https://twitter.com/OptionAlarm/status/1211797888650625026,False,,0,,,,,,,,[],,,,
1211797632944869382,1211797632944869382,2019-12-30 23:54:04 UTC,2019-12-30,23:54:04,+0000,734903592008572928,sonycomeback,Sony #TheOneandOnly,,$SNE #SONY #theoneandonly #therealthing 【VR関連銘柄5選】 出展:モトレーフール $SNE #SONY $SNE #PlaystationVR $SFTBY Softbank $FB Facebook  $SNE Sony $ATVI Activision Blizzard $EA Electronic Arts $TTWO Take-Two Interactive   https://t.co/Tf1K2oxSgg #nikkei $ROBO,ja,[],['https://www.google.co.jp/amp/s/www.fool.com/amp/investing/2019/01/06/5-virtual-reality-stocks-to-watch-in-2019.aspx'],[],0,0,0,"['sony', 'theoneandonly', 'therealthing', 'sony', 'playstationvr', 'nikkei']","['sne', 'sne', 'sne', 'sftby', 'fb', 'sne', 'atvi', 'ea', 'ttwo', 'robo']",https://twitter.com/sonycomeback/status/1211797632944869382,False,,0,,,,,,,,[],,,,
1211797569258565632,1211797569258565632,2019-12-30 23:53:49 UTC,2019-12-30,23:53:49,+0000,993282182,pharris667,Harris Market Trends,,"IBD Big Cap 20 Ranked December 30, 2019 1. $ADBE $PAYC $VRTX $EW $LULU $CNC $ISRG $FNV $REGN $CI $FB $KLAC $BURL $INCY $BIIB $HUM $MSFT $MTCH $ANTM  20. $CPRT  - Confirmed Uptrend",en,[],[],[],1,2,9,[],"['adbe', 'payc', 'vrtx', 'ew', 'lulu', 'cnc', 'isrg', 'fnv', 'regn', 'ci', 'fb', 'klac', 'burl', 'incy', 'biib', 'hum', 'msft', 'mtch', 'antm', 'cprt']",https://twitter.com/pharris667/status/1211797569258565632,False,https://twitter.com/pharris667/status/1211797351632904198,0,,,,,,,,[],,,,
1211793880775102464,1211792446792884227,2019-12-30 23:39:09 UTC,2019-12-30,23:39:09,+0000,32171776,invinciblebull,The Invincible Bull,,$GME this is huge for you 💰💰💰💰💰 $121mill more to buyback shares and already 104% of the outstanding shares are short. Looks like company is going to squeeze shorts into the Stone Age   $SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC $UNH $NVDA $DIS $MA $VZ,en,[],[],[],0,0,2,[],"['gme', 'spy', 'msft', 'amzn', 'fb', 'brk.b', 'jpm', 'goog', 'jnj', 'v', 'pg', 'xom', 't', 'bac', 'unh', 'nvda', 'dis', 'ma', 'vz']",https://twitter.com/InvincibleBull/status/1211793880775102464,False,,0,,,,,,,,[],,,,
1211793788307292160,1211793788307292160,2019-12-30 23:38:47 UTC,2019-12-30,23:38:47,+0000,831801503694336000,aboutheoptions,itsallaboutheoptions,,What a way to end the year $NIO $TSLA $FB $AAPL $NFLX $NVDA $GOOGL $AMZN $MU $AMD $TWTR $RAD $BA $DIS $MAXR $SHOP $ROKU $BTC.X $MBOT $SPY $QQQ $DJIA $RUT $VIX $JNUG $SPX $FDX $MCD $MS $IBB $AMD $WDC $LRCX $WMT $TGT $ADBE $ORCL $MSFT  https://t.co/kp0Uapz3nl,en,[],[],"['https://pbs.twimg.com/media/ENEoBOKUEAEIcb_.jpg', 'https://pbs.twimg.com/media/ENEoBObVUAERS4U.jpg', 'https://pbs.twimg.com/media/ENEoBOcU4AAPOj1.jpg', 'https://pbs.twimg.com/media/ENEoBOeUcAAZLQp.jpg']",0,2,19,[],"['nio', 'tsla', 'fb', 'aapl', 'nflx', 'nvda', 'googl', 'amzn', 'mu', 'amd', 'twtr', 'rad', 'ba', 'dis', 'maxr', 'shop', 'roku', 'btc.x', 'mbot', 'spy', 'qqq', 'djia', 'rut', 'vix', 'jnug', 'spx', 'fdx', 'mcd', 'ms', 'ibb', 'amd', 'wdc', 'lrcx', 'wmt', 'tgt', 'adbe', 'orcl', 'msft']",https://twitter.com/aboutheoptions/status/1211793788307292160,False,,1,https://pbs.twimg.com/media/ENEoBOKUEAEIcb_.jpg,,,,,,,[],,,,
1211792886775181318,1211782358036123649,2019-12-30 23:35:12 UTC,2019-12-30,23:35:12,+0000,181076849,nickefthimiou,Nick Efthimiou,,Have already seen @Facebook stop @messenger only accounts. This will provide an artificial boost in new Facebook users. $FB,en,"[{'screen_name': 'facebook', 'name': 'facebook', 'id': '2425151'}, {'screen_name': 'messenger', 'name': 'messenger', 'id': '2885229365'}]",[],[],0,0,1,[],['fb'],https://twitter.com/NickEfthimiou/status/1211792886775181318,False,,0,,,,,,,,[],,,,
1211792614296608774,1211782225965961216,2019-12-30 23:34:07 UTC,2019-12-30,23:34:07,+0000,185489817,itrismegistus,Hermes Mercurius Trismegistus,,"@sajidnizami SEC lawsuit coming to $FB &amp; $TWTR for knowingly having fact accounts &amp; over charging advertisers for ad revenue; over 35% of ad interactions deemed fake, but still booking all revenue.   Fun times ahead.",en,[],[],[],1,0,0,[],"['fb', 'twtr']",https://twitter.com/iTrismegistus/status/1211792614296608774,False,,0,,,,,,,,"[{'screen_name': 'sajidnizami', 'name': '💬', 'id': '9752512'}]",,,,
