,time,iv_30_pred,iv_30,accuracy
29,2021-01-01,35.78,45.8,78.12%
28,2020-12-31,35.73,45.8,78.02%
27,2020-12-30,35.76,44.87,79.71%
26,2020-12-29,35.89,45.99,78.04%
25,2020-12-28,36.06,45.43,79.38%
24,2020-12-27,36.07,45.88,78.61%
23,2020-12-26,36.02,46.34,77.73%
22,2020-12-25,35.95,46.79,76.83%
21,2020-12-24,35.89,47.24,75.96%
20,2020-12-23,35.92,47.7,75.30%
19,2020-12-22,36.08,46.81,77.08%
18,2020-12-21,36.31,45.63,79.57%
17,2020-12-20,36.26,43.5,83.37%
16,2020-12-19,36.21,41.36,87.55%
15,2020-12-18,36.08,39.22,91.99%
14,2020-12-17,35.97,37.15,96.83%
13,2020-12-16,35.98,37.04,97.12%
12,2020-12-15,36.17,36.49,99.12%
11,2020-12-14,36.47,37.85,96.36%
10,2020-12-13,36.35,37.78,96.22%
9,2020-12-12,36.4,37.71,96.54%
8,2020-12-11,36.21,37.64,96.21%
7,2020-12-10,36.21,36.27,99.83%
6,2020-12-09,36.37,36.64,99.27%
5,2020-12-08,36.69,36.27,101.16%
4,2020-12-07,37.12,36.15,102.68%
3,2020-12-06,36.95,35.61,103.76%
2,2020-12-05,37.0,35.08,105.49%
1,2020-12-04,36.41,34.54,105.41%
0,2020-12-03,36.19,34.4,105.21%
