time,iv_30
2020-11-27,0.0000
2020-06-03,32.2845
2020-06-17,35.2412
2020-08-12,34.9825
2020-01-22,30.2446
2020-08-06,34.7242
2020-04-06,45.8510
2020-03-27,61.8104
2020-03-26,56.5018
2020-04-13,44.6218
2020-04-07,47.3942
2020-01-23,30.4973
2020-08-07,36.4452
2020-08-13,35.0677
2020-06-16,35.2849
2020-06-02,32.7752
2020-11-18,34.3861
2020-11-30,33.2787
2020-11-24,32.6999
2020-01-09,30.7586
2020-08-05,33.0688
2020-01-21,30.9164
2020-08-11,38.4030
2020-03-18,78.7452
2020-03-24,54.6465
2020-03-30,57.3279
2020-03-31,55.5849
2020-03-25,65.3640
2020-03-19,74.0575
2020-08-10,36.7340
2020-06-29,48.2346
2020-08-04,33.7105
2020-01-08,31.6356
2020-06-01,34.7133
2020-06-15,37.4282
2020-11-25,31.7931
2020-11-19,33.4891
2020-11-09,37.1526
2020-01-24,36.7627
2020-08-14,33.4577
2020-01-30,25.2678
2020-06-11,42.5323
2020-08-28,46.8917
2020-06-05,30.2198
2020-04-28,44.6257
2020-04-14,42.8478
2020-03-09,57.1112
2020-04-01,61.4877
2020-04-15,46.7831
2020-04-29,42.0290
2020-03-20,66.8533
2020-06-04,33.4519
2020-06-10,33.7492
2020-01-31,28.0971
2020-11-20,33.8789
2020-08-17,32.2287
2020-08-03,34.4164
2020-01-27,33.8114
2020-06-12,40.2801
2020-04-03,57.8961
2020-04-17,46.5895
2020-04-16,49.7562
2020-04-02,61.2395
2020-03-23,64.2050
2020-11-23,33.6022
2020-02-04,26.8871
2020-05-19,31.6573
2020-02-10,25.2443
2020-12-15,33.7139
2020-12-01,33.2267
2020-12-29,38.2308
2020-07-08,47.9358
2020-09-25,40.3515
2020-07-20,45.4384
2020-07-21,44.1428
2020-09-18,41.8399
2020-09-30,43.9925
2020-09-24,42.9597
2020-07-09,48.1866
2020-10-05,49.0598
2020-12-28,37.4990
2020-12-14,35.3631
2020-05-18,30.2454
2020-02-11,27.3559
2020-02-05,24.9852
2020-02-13,24.0180
2020-02-07,24.9523
2020-05-26,34.0753
2020-12-02,34.5397
2020-12-16,34.2117
2020-10-07,49.8484
2020-10-13,47.1867
2020-07-23,45.7394
2020-07-22,43.6322
2020-10-12,46.8274
2020-10-06,49.5960
2020-12-17,33.9113
2020-12-03,33.8225
2020-05-27,35.0242
2020-02-06,24.5117
2020-02-12,24.1360
2020-12-07,33.8641
2020-10-02,46.3553
2020-10-16,48.5687
2020-09-23,43.9515
2020-09-22,43.1535
2020-07-27,43.1507
2020-02-03,25.6429
2020-05-22,34.3344
2020-05-20,35.0461
2020-05-08,28.9987
2020-12-10,36.2734
