time,iv_30
2020-11-27,0.0000
2020-06-03,24.9743
2020-06-17,29.0134
2020-08-12,25.8280
2020-01-22,24.5282
2020-08-06,26.2581
2020-04-06,40.3120
2020-03-27,56.0895
2020-03-26,49.7738
2020-04-13,39.5851
2020-04-07,41.9222
2020-01-23,26.8025
2020-08-07,27.4924
2020-08-13,26.8581
2020-06-16,28.8695
2020-06-02,25.1765
2020-11-18,24.8085
2020-11-30,25.7028
2020-11-24,25.3238
2020-01-09,21.9818
2020-08-05,25.8270
2020-01-21,24.5288
2020-08-11,28.3880
2020-03-18,70.7447
2020-03-24,49.8084
2020-03-30,51.7250
2020-03-31,47.8306
2020-03-25,56.4094
2020-03-19,64.0374
2020-08-10,26.7280
2020-06-29,35.3819
2020-08-04,26.3027
2020-01-08,22.3701
2020-06-01,26.3195
2020-06-15,29.3027
2020-11-25,24.7931
2020-11-19,25.8469
2020-11-09,26.0338
2020-01-24,25.8305
2020-08-14,24.8639
2020-01-30,25.3849
2020-06-11,33.4907
2020-08-28,35.1504
2020-06-05,23.2600
2020-04-28,35.9719
2020-04-14,38.4226
2020-03-09,54.8310
2020-04-01,54.2105
2020-04-15,41.0334
2020-04-29,27.2906
2020-03-20,59.6777
2020-06-04,25.9601
2020-06-10,26.6719
2020-01-31,31.4553
2020-11-20,26.2083
2020-08-17,26.0733
2020-08-03,29.3441
2020-01-27,27.9525
2020-06-12,30.7808
2020-04-03,48.7580
2020-04-17,40.5997
2020-04-16,42.7989
2020-04-02,51.1623
2020-03-23,53.5304
2020-11-23,25.6279
2020-02-04,20.8401
2020-05-19,27.5274
2020-02-10,21.4507
2020-12-15,26.8025
2020-12-01,26.8819
2020-12-29,26.3895
2020-07-08,36.0129
2020-09-25,36.0984
2020-07-20,36.2180
2020-07-21,35.9439
2020-09-18,35.2178
2020-09-30,36.5264
2020-09-24,36.5636
2020-07-09,36.7849
2020-10-05,39.1065
2020-12-28,26.4662
2020-12-14,27.6170
2020-05-18,26.7632
2020-02-11,21.3888
2020-02-05,22.7898
2020-02-13,18.6701
