time,iv_30
2020-11-27,0.0000
2020-06-03,37.5726
2020-06-17,54.9442
2020-08-12,36.3298
2020-01-22,30.5467
2020-08-06,37.0318
2020-04-06,53.0594
2020-03-27,69.0198
2020-03-26,63.8219
2020-04-13,57.2475
2020-04-07,54.2706
2020-01-23,31.4150
2020-08-07,39.0192
2020-08-13,35.8310
2020-06-16,52.4734
2020-06-02,37.1974
2020-11-18,35.1310
2020-11-30,35.3655
2020-11-24,34.1630
2020-01-09,43.5959
2020-08-05,38.0140
2020-01-21,46.4897
2020-08-11,38.4849
2020-03-18,94.9887
2020-03-24,63.0127
2020-03-30,62.6702
2020-03-31,57.5481
2020-03-25,70.4468
2020-03-19,78.5453
2020-08-10,39.0276
2020-06-29,53.5727
2020-08-04,39.8717
2020-01-08,44.3528
2020-06-01,38.2996
2020-06-15,49.2653
2020-11-25,33.7268
2020-11-19,35.6013
2020-11-09,39.6936
2020-01-24,32.0969
2020-08-14,35.2858
2020-01-30,30.4497
2020-06-11,43.3615
2020-08-28,50.4418
2020-06-05,35.4378
2020-04-28,41.2800
2020-04-14,56.3380
2020-03-09,66.1833
2020-04-01,67.2446
2020-04-15,65.2392
2020-04-29,40.9262
2020-03-20,69.7966
2020-06-04,38.1440
2020-06-10,37.7694
2020-01-31,31.9645
2020-11-20,35.9699
2020-08-17,35.6252
2020-08-03,39.8682
2020-01-27,33.1021
2020-06-12,40.8310
2020-04-03,60.4731
2020-04-17,67.4340
2020-04-16,69.3552
2020-04-02,61.8922
2020-03-23,67.7493
2020-11-23,36.3670
2020-02-04,34.0972
2020-05-19,39.7795
2020-02-10,33.2669
2020-12-15,36.4931
2020-12-01,35.2828
2020-12-29,45.9919
2020-07-08,51.9170
2020-09-25,61.0029
2020-07-20,42.0475
2020-07-21,42.9593
2020-09-18,48.4072
2020-09-30,54.3450
2020-09-24,62.7941
2020-07-09,52.5022
2020-10-05,57.9611
2020-12-28,45.4298
2020-12-14,37.8492
2020-05-18,39.4257
2020-02-11,32.0913
2020-02-05,32.8665
2020-02-13,30.5401
2020-02-07,31.9503
2020-05-26,40.1485
2020-12-02,35.9825
2020-12-16,37.0436
2020-10-07,59.5516
2020-10-13,58.9108
2020-07-23,40.9530
2020-07-22,41.9201
2020-10-12,57.1458
2020-10-06,58.5636
2020-12-17,37.1541
2020-12-03,34.3957
2020-05-27,39.9502
2020-02-06,30.9875
2020-02-12,30.1634
2020-12-07,36.1508
2020-10-02,58.0399
2020-10-16,59.6986
2020-09-23,62.5630
2020-09-22,58.3961
2020-07-27,41.0857
2020-02-03,32.8269
2020-05-22,39.3076
2020-05-20,38.3972
2020-05-08,37.6844
2020-12-10,36.2704
2020-12-04,34.5419
2020-10-29,46.0402
2020-10-15,60.7961
2020-10-01,56.5164
2020-07-31,37.1488
2020-09-08,53.0557
2020-09-21,56.5392
2020-09-09,47.9438
2020-07-24,40.2487
2020-07-30,39.2624
2020-10-14,61.1474
2020-10-28,45.9009
2020-12-11,37.6367
2020-02-14,28.8601
2020-02-28,54.9001
2020-05-21,41.4361
2020-02-25,39.7478
2020-02-19,29.8498
2020-05-04,43.9783
2020-12-08,36.2699
2020-10-19,60.7562
2020-07-29,39.4940
2020-09-04,53.0942
2020-09-10,49.7371
2020-07-15,68.7757
2020-07-01,50.4860
2020-07-14,67.8926
2020-09-11,48.3514
2020-07-28,39.6805
2020-10-30,46.9186
2020-12-09,36.6365
2020-12-21,45.6343
2020-05-05,41.2333
2020-02-18,30.8395
2020-05-11,39.4693
2020-02-24,37.1004
2020-02-26,39.5529
2020-05-07,41.3331
2020-05-13,42.3657
2020-12-23,47.6985
2020-10-26,42.8916
2020-07-02,47.3676
2020-07-16,64.9259
2020-07-17,45.9452
2020-10-27,42.2528
2020-12-22,46.8127
2020-05-12,39.1841
2020-05-06,42.7011
2020-02-27,48.7167
2020-10-23,41.2737
2020-07-07,51.9508
2020-07-13,64.8570
2020-09-16,46.3183
2020-09-02,53.1279
2020-09-03,55.5180
2021-01-04,48.9058
2020-09-17,47.3628
2020-07-06,51.3036
2020-10-22,42.9499
2020-05-15,43.5794
2020-05-01,43.2277
2020-05-29,38.6994
2020-02-20,29.9149
2020-12-31,45.8001
2020-10-08,59.2226
2020-10-20,56.1462
2020-07-10,57.6880
2020-09-29,56.2508
2020-09-01,54.9280
2020-09-15,45.1311
2020-09-14,51.3649
2020-09-28,58.2559
2020-10-21,44.6757
2020-10-09,59.1799
2020-12-24,0.0000
2020-12-30,44.8685
2020-12-18,39.2202
2020-05-28,39.3738
2020-02-21,32.8579
2020-05-14,43.5110
2020-11-06,36.4092
2020-11-12,38.3731
2020-06-22,54.0830
2020-01-17,41.0399
2020-01-03,43.1836
2020-08-27,48.6644
2020-04-27,41.3195
2020-03-12,80.3582
2020-03-06,55.4399
2020-03-13,68.0980
2020-01-02,44.5779
2020-08-26,46.2898
2020-01-16,0.0000
2020-06-23,50.6665
2020-11-13,36.8818
2020-11-11,38.0020
2020-11-05,40.4472
2020-08-18,36.1563
2020-01-28,30.9381
2020-08-24,39.0152
2020-06-09,37.2147
2020-01-14,43.8215
2020-04-30,42.4120
2020-04-24,45.7537
2020-03-05,52.2887
2020-03-11,64.9509
2020-03-10,59.3824
2020-03-04,43.2905
2020-01-15,43.1198
2020-08-31,52.4943
2020-06-08,36.9919
2020-08-25,38.4808
2020-01-29,31.1475
2020-08-19,36.0597
2020-11-04,40.6337
2020-11-10,39.7601
2020-08-21,37.4872
2020-06-18,56.3190
2020-06-30,49.3958
2020-06-24,51.8781
2020-04-09,55.8079
2020-04-21,75.8783
2020-04-20,72.1221
2020-04-08,57.2644
2019-12-31,45.0280
2020-06-25,52.5565
2020-06-19,55.2642
2020-01-10,43.1433
2020-08-20,35.9355
2020-11-03,44.9688
2020-11-17,34.5119
2020-01-06,44.6179
2020-03-17,85.5712
2020-03-03,49.2403
2020-04-22,53.5134
2020-04-23,50.7717
2020-03-02,45.7556
2020-03-16,97.9956
2020-06-26,54.9255
2020-01-07,43.3999
2020-01-13,43.9325
2020-11-16,35.3543
2020-11-02,46.5641
